classifier,vectorizer,train_time,test_time,p_score,r_score,f_score,score,custom_f_score
SVC,TfidfVectorizer,6.83382,2.89449,0.96537,0.93305,0.94894,0.97433,0.80000
SVC,HashingVectorizer,10.45511,4.81394,0.94348,0.90795,0.92537,0.96257,0.70588
SVC,CountVectorizer,2.50492,0.90770,0.97297,0.97908,0.97602,0.98770,0.76923
LinearSVC,TfidfVectorizer,0.02679,0.00643,0.97095,0.97908,0.97500,0.98717,0.87500
LinearSVC,HashingVectorizer,0.05430,0.00699,0.97629,0.94770,0.96178,0.98075,0.70588
LinearSVC,CountVectorizer,0.14397,0.00484,0.97479,0.97071,0.97275,0.98610,0.62500
MultinomialNB,TfidfVectorizer,0.00433,0.00484,0.96000,0.90377,0.93103,0.96578,0.57143
MultinomialNB tuple ##ERROR## Negative values in data passed to MultinomialNB (input X)
MultinomialNB,CountVectorizer,0.00329,0.00559,0.94978,0.91004,0.92949,0.96471,0.66667
BernoulliNB,TfidfVectorizer,0.00621,0.00675,0.91818,0.84519,0.88017,0.94118,0.53333
BernoulliNB,HashingVectorizer,0.01801,0.01177,0.86449,0.77406,0.81678,0.91123,0.42857
BernoulliNB,CountVectorizer,0.00626,0.00751,0.91818,0.84519,0.88017,0.94118,0.53333
LogisticRegression,TfidfVectorizer,0.05891,0.00425,0.97368,0.92887,0.95075,0.97540,0.71429
LogisticRegression,HashingVectorizer,0.09844,0.00633,0.97291,0.90167,0.93594,0.96845,0.70588
LogisticRegression,CountVectorizer,0.49508,0.00421,0.97113,0.98536,0.97819,0.98877,0.62500
RandomForestClassifier,TfidfVectorizer,0.72654,0.16190,0.98085,0.96444,0.97257,0.98610,0.66667
RandomForestClassifier,HashingVectorizer,0.91300,0.17092,0.99103,0.92469,0.95671,0.97861,0.54545
RandomForestClassifier,CountVectorizer,0.73218,0.16767,0.98093,0.96862,0.97474,0.98717,0.58824
AdaBoostClassifier,TfidfVectorizer,2.50452,0.07356,0.89780,0.93724,0.91709,0.95668,0.71429
AdaBoostClassifier,HashingVectorizer,3.65094,0.10040,0.93228,0.86402,0.89685,0.94920,0.50000
AdaBoostClassifier,CountVectorizer,1.02221,0.06482,0.92361,0.83473,0.87692,0.94011,0.54545
BaggingClassifier,TfidfVectorizer,12.28707,0.03044,0.96559,0.93933,0.95228,0.97594,0.53333
BaggingClassifier,HashingVectorizer,12.98585,0.04954,0.98394,0.89749,0.93873,0.97005,0.36364
BaggingClassifier,CountVectorizer,3.97608,0.02565,0.95148,0.94351,0.94748,0.97326,0.42857
ExtraTreesClassifier,TfidfVectorizer,3.90825,0.10701,0.98523,0.97699,0.98109,0.99037,0.66667
ExtraTreesClassifier,HashingVectorizer,7.64476,0.15581,0.99315,0.91004,0.94978,0.97540,0.54545
ExtraTreesClassifier,CountVectorizer,3.87396,0.10754,0.98312,0.97490,0.97899,0.98930,0.63158
GradientBoostingClassifier,TfidfVectorizer,12.11033,0.01167,0.97852,0.85774,0.91416,0.95882,0.36364
GradientBoostingClassifier,HashingVectorizer,18.01486,0.01640,0.96675,0.85146,0.90545,0.95455,0.61538
GradientBoostingClassifier,CountVectorizer,4.48454,0.01060,0.97059,0.82845,0.89391,0.94973,0.36364
DecisionTreeClassifier,TfidfVectorizer,0.67775,0.00471,0.94191,0.94979,0.94583,0.97219,0.66667
DecisionTreeClassifier,HashingVectorizer,1.15057,0.00550,0.94105,0.90167,0.92094,0.96043,0.70588
DecisionTreeClassifier,CountVectorizer,0.37273,0.00529,0.94703,0.93515,0.94105,0.97005,0.42857
CalibratedClassifierCV,TfidfVectorizer,0.14367,0.00654,0.97095,0.97908,0.97500,0.98717,0.87500
CalibratedClassifierCV,HashingVectorizer,0.25434,0.00789,0.97430,0.95188,0.96296,0.98128,0.70588
CalibratedClassifierCV,CountVectorizer,0.57512,0.00744,0.98052,0.94770,0.96383,0.98182,0.62500
DummyClassifier,TfidfVectorizer,0.00055,0.00360,0.23593,0.22803,0.23191,0.62086,0.00000
DummyClassifier,HashingVectorizer,0.00035,0.00377,0.26195,0.26360,0.26277,0.59305,0.61538
DummyClassifier,CountVectorizer,0.00039,0.00359,0.27426,0.27197,0.27311,0.59572,0.71429
PassiveAggressiveClassifier,TfidfVectorizer,0.02787,0.00388,0.97718,0.98536,0.98125,0.99037,0.87500
PassiveAggressiveClassifier,HashingVectorizer,0.05022,0.00388,0.97234,0.95607,0.96414,0.98182,0.62500
PassiveAggressiveClassifier,CountVectorizer,0.04078,0.00425,0.97694,0.97490,0.97592,0.98770,0.82353
RidgeClassifier,TfidfVectorizer,0.03365,0.00433,0.97192,0.94142,0.95643,0.97807,0.57143
RidgeClassifier,HashingVectorizer,0.06131,0.00544,0.96711,0.92259,0.94433,0.97219,0.70588
RidgeClassifier,CountVectorizer,0.20711,0.00609,0.95567,0.81172,0.87783,0.94225,0.76923
RidgeClassifierCV,TfidfVectorizer,1.34329,0.00478,0.97192,0.94142,0.95643,0.97807,0.57143
RidgeClassifierCV,HashingVectorizer,1.39283,0.00554,0.96711,0.92259,0.94433,0.97219,0.70588
RidgeClassifierCV,CountVectorizer,1.23884,0.00867,0.95309,0.80753,0.87429,0.94064,0.71429
SGDClassifier,TfidfVectorizer,0.01958,0.00427,0.97101,0.98117,0.97607,0.98770,0.87500
SGDClassifier,HashingVectorizer,0.03208,0.00421,0.96996,0.94561,0.95763,0.97861,0.73684
SGDClassifier,CountVectorizer,0.01969,0.00391,0.97286,0.97490,0.97388,0.98663,0.71429
OneVsRestClassifier,TfidfVectorizer,0.09251,0.00464,0.97368,0.92887,0.95075,0.97540,0.71429
OneVsRestClassifier,HashingVectorizer,0.14453,0.00465,0.97291,0.90167,0.93594,0.96845,0.70588
OneVsRestClassifier,CountVectorizer,0.22567,0.00469,0.97113,0.98536,0.97819,0.98877,0.62500
KNeighborsClassifier,TfidfVectorizer,0.00165,1.71860,0.39983,0.99372,0.57023,0.61711,0.66667
KNeighborsClassifier,HashingVectorizer,0.00331,2.61246,0.86346,0.93933,0.89980,0.94652,0.62500
KNeighborsClassifier,CountVectorizer,0.00173,1.80566,0.64915,0.95607,0.77327,0.85668,0.70588
Runtime: 142.9190239906311
